roomId,photo
room_0_1e2b9048d931481798586626fc0a64f5,44637031_09
room_1_2aa5c541a53a4d76b011ef6457dfa245,44637031_07
room_2_bbeb14146ba64f9ebab2468b911ed0cc,44637031_08
room_5_9bbdd6e8a090490b892747ed605ff3ee,44637031_03
room_7_87c72d4e68c449bf8932e46a23769634,44637031_05
room_7_87c72d4e68c449bf8932e46a23769634,44637031_06
room_7_87c72d4e68c449bf8932e46a23769634,44637031_02
room_8_822a738338d24e2abbaec73ccdc60913,44637031_04
room_8_822a738338d24e2abbaec73ccdc60913,44637031_00
room_10_c594b796f94e449ca69e3e476c48ca8c,44637031_01
